iter	Passed	Remaining
545	18502	15384
546	18535	15350
547	18568	15315
548	18600	15280
549	18632	15244
550	18666	15211
551	18699	15176
552	18733	15142
553	18765	15107
554	18802	15076
555	18838	15043
556	18877	15014
557	18912	14981
558	18947	14947
559	18983	14915
560	19016	14881
561	19050	14847
562	19086	14814
563	19120	14781
564	19153	14746
565	19187	14712
566	19220	14677
567	19254	14643
568	19287	14609
569	19321	14575
570	19357	14543
571	19390	14508
572	19425	14475
573	19459	14441
574	19493	14408
575	19527	14374
576	19564	14342
577	19598	14309
578	19632	14275
579	19668	14242
580	19701	14208
581	19736	14174
582	19773	14142
583	19806	14108
584	19839	14074
585	19874	14041
586	19908	14006
587	19940	13972
588	19975	13939
589	20011	13906
590	20045	13872
591	20080	13839
592	20116	13806
593	20149	13772
594	20184	13738
595	20219	13705
596	20254	13672
597	20290	13640
598	20325	13606
599	20359	13572
600	20393	13538
601	20426	13504
602	20459	13470
603	20492	13435
604	20532	13405
605	20576	13378
606	20612	13345
607	20657	13318
608	20696	13287
609	20731	13254
610	20767	13221
611	20801	13187
612	20839	13156
613	20876	13124
614	20911	13090
615	20946	13057
616	20981	13024
617	21015	12990
618	21050	12956
619	21084	12922
620	21118	12888
621	21153	12855
622	21186	12820
623	21220	12786
624	21254	12752
625	21301	12726
626	21349	12701
627	21393	12672
628	21436	12643
629	21467	12608
630	21501	12573
631	21534	12539
632	21567	12504
633	21600	12469
634	21634	12435
635	21668	12401
636	21700	12366
637	21734	12331
638	21768	12298
639	21801	12263
640	21833	12228
641	21867	12194
642	21901	12159
643	21945	12131
644	21991	12103
645	22038	12077
646	22084	12049
647	22123	12017
648	22166	11988
649	22216	11962
650	22285	11947
651	22352	11930
652	22393	11899
653	22434	11868
654	22471	11836
655	22507	11802
656	22543	11769
657	22580	11736
658	22616	11702
659	22656	11671
660	22697	11640
661	22738	11609
662	22779	11578
663	22822	11548
664	22946	11559
665	23038	11553
666	23119	11542
667	23213	11537
668	23360	11558
669	23404	11527
670	23450	11497
671	23487	11464
672	23524	11430
673	23564	11397
